id,trait,ncase,group_name,year,author,consortium,sex,pmid,population,unit,sample_size,build,ncontrol,category,subcategory,ontology,note,mr,nsnp,doi,coverage,study_design,priority,sd
bbj-a-81,Smoking behaviors : Smoking cessation,43163,public,2019,Ishigaki K,NA,Males and Females,31089300,East Asian,NA,76047,HG19/GRCh37,32884,Binary,NA,NA,NA,1,5961480,,,,0,
bbj-a-82,Smoking behaviors : Smoking cessation,36787,public,2019,Ishigaki K,NA,Males,31089300,East Asian,NA,61696,HG19/GRCh37,24909,Binary,NA,NA,NA,1,6127622,,,,0,
bbj-a-83,Smoking behaviors : Smoking cessation,6376,public,2019,Ishigaki K,NA,Females,31089300,East Asian,NA,14351,HG19/GRCh37,7975,Binary,NA,NA,NA,1,6107598,,,,0,
bbj-a-86,Arrhythmia,17861,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,194592,Binary,NA,NA,NA,1,8885805,,,,0,
bbj-a-88,Asthma,8216,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,209808,HG19/GRCh37,201592,Binary,NA,NA,NA,1,8885667,,,,0,
bbj-a-9,Albumin,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,102223,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-90,Atopic dermatitis,2385,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212036,HG19/GRCh37,209651,Binary,NA,NA,NA,1,8885777,,,,0,
bbj-a-92,Biliary tract cancer,339,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,196084,HG19/GRCh37,195745,Binary,NA,NA,NA,1,8885064,,,,0,
bbj-a-94,Cataract,24622,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,187831,Binary,NA,NA,NA,1,8885805,,,,0,
bbj-a-96,Cerebral aneurysm,2820,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,195203,HG19/GRCh37,192383,Binary,NA,NA,NA,1,8885031,,,,0,
bbj-a-98,Cervical cancer,605,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,90336,HG19/GRCh37,89731,Binary,NA,NA,NA,1,8876065,,,,0,
bbj-a-99,Chronic hepatitis B,1394,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,211059,Binary,NA,NA,NA,1,8885805,,,,0,
finn-b-AB1_AMOEBIASIS,Amoebiasis,87,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,197298,Binary,NA,NA,AB1_AMOEBIASIS,1,16380388,,,,0,
finn-b-AB1_ANOGENITAL_HERPES_SIMPLEX,Anogenital herpesviral [herpes simplex] infection,891,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,212952,Binary,NA,NA,AB1_ANOGENITAL_HERPES_SIMPLEX,1,16380455,,,,0,
finn-b-AB1_ARTHROPOD,Arthropod-borne viral fevers and viral haemorrhagic fevers,1450,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217342,Binary,NA,NA,AB1_ARTHROPOD,1,16380466,,,,0,
finn-b-AB1_ASPERGILLOSIS,Aspergillosis,87,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,214816,Binary,NA,NA,AB1_ASPERGILLOSIS,1,16380461,,,,0,
finn-b-AB1_ATYPICAL_CNS_VIRUS,Atypical virus infections of central nervous system,146,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217637,Binary,NA,NA,AB1_ATYPICAL_CNS_VIRUS,1,16380460,,,,0,
finn-b-AB1_BACT_BIR_OTHER_INF_AGENTS,"Bacterial, viral and other infectious agents",1427,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217365,Binary,NA,NA,AB1_BACT_BIR_OTHER_INF_AGENTS,1,16380466,,,,0,
finn-b-AB1_BACT_INTEST_OTH,Other bacterial intestinal infections,2708,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,197298,Binary,NA,NA,AB1_BACT_INTEST_OTH,1,16380395,,,,0,
finn-b-AB1_BACTINF_NOS,"Bacterial infection, other or unspecified",20977,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,197660,Binary,NA,NA,AB1_BACTINF_NOS,1,16380466,,,,0,
finn-b-AB1_CANDIDIASIS,Candidiasis,2015,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,214816,Binary,NA,NA,AB1_CANDIDIASIS,1,16380463,,,,0,
finn-b-AB1_CHLAMYDIA_OTHER,Other sexually transmitted chlamydial diseases,1032,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,212952,Binary,NA,NA,AB1_CHLAMYDIA_OTHER,1,16380455,,,,0,
finn-b-AB1_CHOLERA,Cholera,818,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,197298,Binary,NA,NA,AB1_CHOLERA,1,16380389,,,,0,
finn-b-AB1_CMV,Cytomegaloviral disease,270,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,213666,Binary,NA,NA,AB1_CMV,1,16380457,,,,0,
finn-b-AB1_DERMATOPHYTOSIS,Dermatophytosis,1656,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,214816,Binary,NA,NA,AB1_DERMATOPHYTOSIS,1,16380462,,,,0,
finn-b-AB1_EARLY_SYPHILIS,Early syphilis,165,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,212952,Binary,NA,NA,AB1_EARLY_SYPHILIS,1,16380455,,,,0,
finn-b-AB1_EBV,Infectious mononucleosis,1238,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,213666,Binary,NA,NA,AB1_EBV,1,16380461,,,,0,
finn-b-AB1_ERYSIPELAS,Erysipelas,10019,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,197660,Binary,NA,NA,AB1_ERYSIPELAS,1,16380453,,,,0,
finn-b-AB1_GASTROENTERITIS_NOS,Diarrhoea and gastroenteritis of presumed infectious origin,15255,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,197298,Binary,NA,NA,AB1_GASTROENTERITIS_NOS,1,16380447,,,,0,
finn-b-AB1_GHLAMY_OTHER,Other diseases caused by chlamydiae (AB1_GHLAMY_OTHER),167,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218605,Binary,NA,NA,AB1_GHLAMY_OTHER,1,16380466,,,,0,
