location_name,location_id,sex_name,age_name,n_years,weighted_r,weighted_se,weighted_t,weighted_p,fit_status,weighted_fdr,bh_family
Republic of Tajikistan,39,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Trinidad and Tobago,119,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Tunisia,154,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Turkey,155,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Uganda,190,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Uzbekistan,41,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Vanuatu,30,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Yemen,157,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Zambia,191,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Zimbabwe,198,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of the Congo,170,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of the Gambia,206,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of the Marshall Islands,24,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of the Niger,213,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
