location_name,IHD_to_DD_status,IHD_to_DD_p,IHD_to_DD_BG_p,IHD_to_DD_error,DD_to_IHD_status,DD_to_IHD_p,DD_to_IHD_BG_p,DD_to_IHD_error,IHD_to_DD_q,DD_to_IHD_q,direction
French Republic,fit_ok,0.856543523588184,0.0530297616685756,,fit_ok,0.0000000000000000000764160627718843,0.000319074052010509,,0.865024152534601,0.00000000000000000036253201873173,DD_to_IHD
Gabonese Republic,fit_ok,0.311988818515287,0.248214080901806,,fit_ok,0.00000000000000000000000000436008413462131,0.0581037504701105,,0.648510394626042,0.000000000000000000000000111182145432843,DD_to_IHD
Georgia,fit_ok,0.57979437237034,0.889038332341027,,fit_ok,0.000000000000000000000000339716283309186,0.0224775048749351,,0.674888507351795,0.00000000000000000000000462014145300493,DD_to_IHD
Grand Duchy of Luxembourg,fit_ok,0.336146383607171,0.387039711760329,,fit_ok,0.0000178992876408965,0.00404042995607682,,0.648510394626042,0.000025896841693212,DD_to_IHD
Greenland,fit_ok,0.630453683721514,0.00165005390949962,,fit_ok,0.00079779127976687,0.701706569442766,,0.693557774362893,0.00103005962704077,DD_to_IHD
Grenada,fit_ok,0.513443721956264,0.359698118770241,,fit_ok,0.852723843473201,0.0767269646306044,,0.674888507351795,0.861166653804618,Neither
Guam,fit_ok,0.461820203004317,0.176494071687312,,fit_ok,0.0000776600390358372,0.0572957364216918,,0.674888507351795,0.000108511287419937,DD_to_IHD
Hashemite Kingdom of Jordan,fit_ok,0.657623687975708,0.451218699934869,,fit_ok,0.0000000000000000000000909340694248557,0.026994191469627,,0.700063509774974,0.000000000000000000000618351672089019,DD_to_IHD
Hellenic Republic,fit_ok,0.136843749759705,0.0415035832417602,,fit_ok,0.0176273708194422,0.00287408967817363,,0.648510394626042,0.0207860326425793,DD_to_IHD
Hungary,fit_ok,0.4597969257955,0.957757682916572,,fit_ok,0.000000000000000000935014814811145,0.12067198557268,,0.674888507351795,0.00000000000000000346805494948134,DD_to_IHD
Independent State of Papua New Guinea,fit_ok,0.373380550046111,0.222113314208251,,fit_ok,0.295218617380286,0.0812740338574491,,0.648510394626042,0.305708619013088,Neither
Independent State of Samoa,fit_ok,0.382699198046762,0.179768510803538,,fit_ok,0.00254870686475124,0.251611044572374,,0.648510394626042,0.00313214578559791,DD_to_IHD
Ireland,fit_ok,0.221551693922069,0.336345011430465,,fit_ok,0.154165952746587,0.0850917988099694,,0.648510394626042,0.160458440613794,Neither
Islamic Republic of Afghanistan,fit_ok,0.682576170260551,0.544973628420702,,fit_ok,0.0000293055170370635,0.0136907912784354,,0.714079685811038,0.00004151614913584,DD_to_IHD
Islamic Republic of Iran,fit_ok,0.647016979984886,0.985075639148385,,fit_ok,0.00000000000029612321711733,0.0305947694624461,,0.694691915352193,0.000000000000671212625465948,DD_to_IHD
Islamic Republic of Mauritania,fit_ok,0.0542737295739171,0.271275424425435,,fit_ok,0.00000000214636299829507,0.0738529761342517,,0.648510394626042,0.00000000401704634543297,DD_to_IHD
Islamic Republic of Pakistan,fit_ok,0.377785733818207,0.170363198664363,,fit_ok,0.0000000228377475673142,0.00202146060660295,,0.648510394626042,0.0000000385033099481992,DD_to_IHD
Jamaica,fit_ok,0.360081907653277,0.841383323288373,,fit_ok,0.000000000000000945245121794118,0.00524786943999222,,0.648510394626042,0.00000000000000264150691569863,DD_to_IHD
Japan,fit_ok,0.500380964419804,0.03837485888827,,fit_ok,0.0000000000000227149833042704,0.245750191531197,,0.674888507351795,0.0000000000000572081060996439,DD_to_IHD
Kingdom of Bahrain,fit_ok,0.248248273335927,0.318467935229519,,fit_ok,0.00000000000000000000000101192721871041,0.0246806062452452,,0.648510394626042,0.0000000000000000000000103216576308462,DD_to_IHD
Kingdom of Belgium,fit_ok,0.361746986625215,0.529333532598566,,fit_ok,0.00000012819493493023,0.0459884234143039,,0.648510394626042,0.000000209214133806136,DD_to_IHD
Kingdom of Bhutan,fit_ok,0.121072120103239,0.804080801709926,,fit_ok,0.00000000000000000000049777200024996,0.00150688751363625,,0.648510394626042,0.00000000000000000000298663200149976,DD_to_IHD
Kingdom of Cambodia,fit_ok,0.715676466089162,0.835462567448847,,fit_ok,0.00000000000000000250728397275154,0.00816543701305204,,0.741106594325832,0.00000000000000000907296844120294,DD_to_IHD
Kingdom of Denmark,fit_ok,0.28653430287625,0.24065020723381,,fit_ok,0.00000000000000000000000000129318737019239,0.185749729799819,,0.648510394626042,0.0000000000000000000000000445417440896371,DD_to_IHD
