location_name,ISO3,longitude,latitude,selected_lag_BIC,primary_direction,IHD_to_DD_p,IHD_to_DD_q,DD_to_IHD_p,DD_to_IHD_q,HC3_direction,IHD_to_DD_p_HC3,IHD_to_DD_q_HC3,DD_to_IHD_p_HC3,DD_to_IHD_q_HC3,IHD_to_DD_BG_p,DD_to_IHD_BG_p,diagnostics,small_island_excluded
Kingdom of Saudi Arabia,SAU,46.71,24.65,3,DD -> IHD,0.732086135993311,0.787561682026455,0.000000000353549363384011,0.000000000667815464169799,Neither,0.845575823795835,0.916769859708322,0.0123749895965801,0.157781117356396,0.913124609363177,0.156311163490402,Influence flag,FALSE
Kingdom of Spain,ESP,-3.7033,40.4169,2,DD -> IHD,0.0344701975570623,0.486773875656861,0.00126543552418745,0.00157407833496487,Neither,0.461464260862337,0.916769859708322,0.95005945150864,0.998138144554251,0.415667144182889,0.0402029614708192,Residual serial correlation flag,FALSE
Kingdom of Sweden,SWE,18.0547,59.3275,2,DD -> IHD,0.200749500315152,0.718816670460909,0.0143931667724225,0.0165887345851649,Neither,0.570274939328737,0.916769859708322,0.678344760808375,0.965817692352022,0.00261086451409813,0.054531874759105,Residual serial correlation flag,FALSE
Kingdom of Thailand,THA,100.4942,13.7525,3,DD -> IHD,0.572283861761704,0.72919300389818,0.00000000000516661949787659,0.0000000000107550038527227,Neither,0.815375315709608,0.916769859708322,0.180354941936698,0.735848163101728,0.872310544139311,0.550651597195969,Influence flag,FALSE
Kingdom of Tonga,TON,-175.2,-21.1333,3,DD -> IHD,0.68933526234612,0.772661502849497,0.000000362140310493236,0.000000555463333388122,Neither,0.743829716724665,0.916769859708322,0.746769853808915,0.97409477517071,0.595957056602987,0.269775941575419,Influence flag,TRUE
Kingdom of the Netherlands,NLD,5.0911,51.5572,3,DD -> IHD,0.0394788141551611,0.486773875656861,0.0000000000000167397129353962,0.0000000000000416451394978149,Neither,0.771012119873445,0.916769859708322,0.0483904354133778,0.365616623123299,0.0755013830759414,0.203282080660608,Influence flag,FALSE
Kyrgyz Republic,KGZ,74.5667,42.8667,3,DD -> IHD,0.782832481262443,0.814784827436421,0.00000000000000000336520297330085,0.0000000000000000116356170602267,Neither,0.882676500330498,0.916769859708322,0.594207811254331,0.952675610449616,0.000343581934722761,0.0383615915796786,Residual serial correlation flag,FALSE
Lao People's Democratic Republic,LAO,102.63,17.98,3,DD -> IHD,0.246666703444048,0.718816670460909,0.00000000000114137542930716,0.00000000000247702752743255,Neither,0.748891317861061,0.916769859708322,0.851886246094445,0.995669705266118,0.620311708987034,0.0747583390372288,Influence flag,FALSE
Lebanese Republic,LBN,35.5058,33.8981,3,DD -> IHD,0.243074702843195,0.718816670460909,0.000515503830508677,0.00066140114103,Neither,0.877140598393154,0.916769859708322,0.80023528637913,0.982769082827713,0.000911743059164081,0.100677468946676,Residual serial correlation flag,FALSE
Malaysia,MYS,101.698,3.1686,3,DD -> IHD,0.364225471785729,0.718816670460909,0.000000074219939555724,0.000000115579142514257,Neither,0.775482419236766,0.916769859708322,0.241033909551429,0.816846289062875,0.737523760479009,0.110123621364861,Influence flag,FALSE
Mongolia,MNG,106.9055,47.9214,2,DD -> IHD,0.0318567615919979,0.486773875656861,0.0391857260064648,0.0436824486629443,Neither,0.612834454546909,0.916769859708322,0.579266682516574,0.952675610449616,0.101043603631422,0.107680673694294,Influence flag,FALSE
Montenegro,MNE,19.2628,42.4414,2,DD -> IHD,0.645700900450724,0.749405188578252,0.00000000000000000000000000131005129675403,0.0000000000000000000000000534500929075645,Neither,0.650411704139159,0.916769859708322,0.108367744605292,0.580725411543763,0.756368290516084,0.157223993488243,Influence flag,FALSE
New Zealand,NZL,174.7653,-36.8492,2,DD -> IHD,0.0499378947515102,0.486773875656861,0.00170037369505958,0.00206473948685806,Neither,0.087699668997277,0.916769859708322,0.440839433345875,0.899312444025585,0.0941999150711085,0.00946131798199817,Residual serial correlation flag,FALSE
North Macedonia,MKD,21.4317,41.9961,2,DD -> IHD,0.394159282235172,0.718816670460909,0.000000000000000000000000616153617425257,0.00000000000000000000000785595862217202,Neither,0.67817410091146,0.916769859708322,0.792393348752423,0.982769082827713,0.888589509593377,0.40287289008475,Influence flag,FALSE
Northern Mariana Islands,MNP,145.7546,15.2137,3,Neither,0.423925847162418,0.718816670460909,0.132198981715582,0.139013362216385,Neither,0.818019590604889,0.916769859708322,0.650344900279701,0.965817692352022,0.168529520678354,0.0931038163097643,Influence flag,TRUE
Palestine,PSE,34.456,31.5069,3,DD -> IHD,0.122368889721457,0.718816670460909,0.00000000156576855629327,0.00000000275359297830885,Neither,0.65625965224477,0.916769859708322,0.350019367461962,0.83943457777099,0.0247462826212472,0.0571881909498422,Residual serial correlation flag,FALSE
People's Democratic Republic of Algeria,DZA,3.0872,36.7325,3,DD -> IHD,0.499285727646197,0.718816670460909,0.0000177915124933694,0.0000248593736208723,Neither,0.838946007696442,0.916769859708322,0.591290058043074,0.952675610449616,0.0213277508732934,0.469657621137922,Residual serial correlation flag,FALSE
People's Republic of Bangladesh,BGD,90.3944,23.7289,3,DD -> IHD,0.480620457196009,0.718816670460909,0.000000000104983738852744,0.000000000209967477705488,Neither,0.845303776285592,0.916769859708322,0.79449558257389,0.982769082827713,0.535828798024704,0.086103141796608,Influence flag,FALSE
People's Republic of China,CHN,113.26,23.13,3,Bidirectional,0.00000000848674426270947,0.00000173129582959273,0.00404085423815004,0.00476493794556421,Neither,0.302768304570072,0.916769859708322,0.165814287066,0.690328868601306,0.349496678070282,0.404637951416053,Influence flag,FALSE
Plurinational State of Bolivia,BOL,-63.1975,-17.7892,3,DD -> IHD,0.178329876420201,0.718816670460909,0.0000213053794417457,0.0000295666490211981,Neither,0.815885422961546,0.916769859708322,0.958332717867034,0.998138144554251,0.0241055704869537,0.526729502087225,Residual serial correlation flag,FALSE
Portuguese Republic,PRT,-9.134,38.7122,2,DD -> IHD,0.195053338193063,0.718816670460909,0.00000000174249968204091,0.00000000303820457381492,Neither,0.452220436823868,0.916769859708322,0.0177057850670754,0.200665564093521,0.107860653392844,0.0618810618618265,Influence flag,FALSE
Principality of Andorra,AND,1.5,42.5,2,DD -> IHD,0.247634838863379,0.718816670460909,0.0000000038731944918849,0.00000000647648915036492,Neither,0.680129544320487,0.916769859708322,0.825195869131822,0.984444194753752,0.0374523509895395,0.322555115965063,Residual serial correlation flag,FALSE
Principality of Monaco,MCO,7.4167,43.7333,2,DD -> IHD,0.525057326786545,0.718816670460909,0.000362114380557818,0.000467540086289841,Neither,0.674499339529635,0.916769859708322,0.719839448939295,0.967016766223359,0.331929061969348,0.149636556103526,Influence flag,FALSE
Puerto Rico,PRI,-66.061,18.3985,3,DD -> IHD,0.0311134231712235,0.486773875656861,0.000000000000000448406016064315,0.00000000000000128837784897353,Neither,0.789989033069315,0.916769859708322,0.597154240816244,0.952675610449616,0.0330662854542495,0.022696635199612,Residual serial correlation flag,TRUE
Republic of Albania,ALB,19.8186,41.3272,3,DD -> IHD,0.471552551681138,0.718816670460909,0.000000208995409977456,0.000000322992906328796,Neither,0.870583309440315,0.916769859708322,0.982026515370124,0.998138144554251,0.116043606958616,0.122928992784355,Influence flag,FALSE
Republic of Angola,AGO,13.2344,-8.8383,2,DD -> IHD,0.356675434894303,0.718816670460909,0.00000000000000000000000982584750903016,0.0000000000000000000000770951112246982,Neither,0.63888333002408,0.916769859708322,0.235592298958418,0.816846289062875,0.0696093891758017,0.00896288405250727,Residual serial correlation flag,FALSE
Republic of Armenia,ARM,44.5144,40.1814,3,DD -> IHD,0.853543679412185,0.866283137313859,0.0000000000000000000000000664679959414249,0.00000000000000000000000135594711720507,Neither,0.861549187564662,0.916769859708322,0.020084895337775,0.209164804994715,0.0393945236934301,0.828875412916506,Residual serial correlation flag,FALSE
Republic of Austria,AUT,16.3725,48.2083,2,DD -> IHD,0.012676746015033,0.369436598152389,0.0000000000000000636749420723667,0.000000000000000202963877855669,Neither,0.599148758892323,0.916769859708322,0.145847719871867,0.65157533739031,0.820591336027915,0.0272435195928532,Residual serial correlation flag,FALSE
Republic of Azerbaijan,AZE,49.8352,40.3667,3,DD -> IHD,0.354748463666819,0.718816670460909,0.0000000000000000000000000384520104904002,0.000000000000000000000000871578904449072,Neither,0.802192312788299,0.916769859708322,0.113183652982965,0.580725411543763,0.277865776355471,0.196274030726732,Influence flag,FALSE
Republic of Belarus,BLR,27.5586,53.9006,3,DD -> IHD,0.297272880033946,0.718816670460909,0.000000000151739346486374,0.000000000300532297895343,Neither,0.807430750996149,0.916769859708322,0.725262574667519,0.967016766223359,0.927619304217715,0.132600136721919,Influence flag,FALSE
Republic of Benin,BEN,2.4333,6.3667,2,DD -> IHD,0.401207734089128,0.718816670460909,0.000000000000000000000000149878165980772,0.00000000000000000000000277955871455249,Neither,0.622678845057624,0.916769859708322,0.314115271568449,0.827630372655187,0.704050923808821,0.0909935589496491,Influence flag,FALSE
Republic of Botswana,BWA,25.9086,-24.6569,2,DD -> IHD,0.394192592811908,0.718816670460909,0.00000000000000313295090880846,0.00000000000000863678358644495,Neither,0.393043382758779,0.916769859708322,0.256265502451098,0.816846289062875,0.821697900827713,0.012069856973257,Residual serial correlation flag,FALSE
Republic of Bulgaria,BGR,23.3217,42.6979,3,DD -> IHD,0.539033652889162,0.718816670460909,0.000000000000391180135995224,0.00000000000086739943198941,Neither,0.800337667018469,0.916769859708322,0.0879040965404598,0.534222051102289,0.332887737471832,0.726859809488457,Influence flag,FALSE
