location_name,sex_name,n_age_groups,correlation,p_value,fdr_pvalue,bh_family,small_island_excluded,fdr_pvalue_SID_excluded,significant_full_BH,significant_SID_excluded_BH,bh_family_SID_excluded
Kingdom of Cambodia,Male,20,0.322865697675009,0.165001386490171,0.242160308230179,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.230133512736291,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Kingdom of Denmark,Female,20,0.0982093864608591,0.6803952583028,0.78569319405044,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.8028962803254,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Kingdom of Denmark,Male,20,0.197292641237552,0.40442257884792,0.488178734230625,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.502368672162651,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Kingdom of Eswatini,Female,20,0.477036996903338,0.0334377463298761,0.100296591902772,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.0949393154723268,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Kingdom of Eswatini,Male,20,0.542021633262925,0.0135588990951932,0.0269906619487907,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.0251952844696389,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Kingdom of Lesotho,Female,20,0.575327936355464,0.00795256202291434,0.0377284337831285,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.0332751937274574,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Kingdom of Lesotho,Male,20,0.541689519451223,0.013627638140811,0.0269906619487907,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.0251952844696389,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Kingdom of Morocco,Female,20,-0.138597942512603,0.560066570742365,0.696145355869523,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.721986614928722,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Kingdom of Morocco,Male,20,-0.014158964890783,0.952755973669065,0.971811093142446,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.97734322460246,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Kingdom of Norway,Female,20,-0.126862804004308,0.594048718500143,0.720196440110453,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.74113045887745,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
